src,dst,packets,duration,rate,mean,std,max,min,tcp,udp,dns,icmp,syn,ack,psh,fin,urg,rst,sport,dport
81.63.188.20,192.168.3.2,31385,784.7512410000024,39.993565298484064,1209.2657638999522,355.91260766285865,1487,35,31385,0,0,0,0.0,1.0,0.563645053369444,0.0,0.0,0.0,4661.0,2911.0
192.168.3.2,186.214.225.62,28768,7.402865999999594,3886.0625060620546,1457.3434371523915,70.76360144127706,1461,35,8,28760,0,0,0.5,0.625,0.25,0.125,0.0,0.125,40996.081896551725,29551.527878197998
192.168.3.2,174.79.146.10,28078,41.66810100000251,673.8488034287502,1448.7618776266115,107.65058323979049,1461,35,13,28065,0,0,0.6153846153846154,0.5384615384615384,0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,40992.113327160056,58788.69787734169
192.168.3.2,93.80.156.242,27084,10.689211999999479,2533.7695613110977,1457.84640378083,65.43009556574599,1461,35,8,27076,0,0,0.5,0.5,0.25,0.125,0.0,0.25,40995.806490917144,57416.37110471127
24.49.13.169,192.168.3.2,27029,615.6700960000029,43.901758710723335,48.48592252765548,34.557007470797494,722,35,5,27024,0,0,0.2,0.8,0.2,0.2,0.0,0.0,34359.04287986977,41000.0
210.77.74.28,192.168.3.2,22671,275.2090050000053,82.3773916845474,1252.224648229015,241.98235296645072,1725,35,22671,0,0,0,0.0,1.0,0.3540205548939173,0.0,0.0,0.0,8058.0,15000.0
192.168.3.2,81.63.188.20,17896,136.59343300000774,131.01654747925537,35.770898524810015,5.1634403970434954,81,35,17896,0,0,0,0.0,1.0,0.011510952168082253,0.0,0.0,0.0,2911.0,4661.0
76.231.24.165,192.168.3.2,16461,462.2629900000039,35.60959963504727,52.74090273980924,24.882835962318687,763,47,16455,1,0,5,6.0771801883925856e-05,0.9999392281981161,0.012518991188088727,6.0771801883925856e-05,0.0,0.0,34991.365530648196,40987.54632160865
192.168.3.2,199.243.212.98,16380,47.36628500000114,345.81559436209966,1444.9863858363858,129.4803621073156,1461,43,3,16377,0,0,1.0,0.0,0.0,0.0,0.0,0.0,40993.12619047619,25091.0
192.168.3.2,210.77.74.28,16223,71.3319600000019,227.42961219626613,39.28693829747889,7.235515727660658,122,35,16223,0,0,0,0.0,1.0,0.009677618196387844,0.0,0.0,0.0,15000.0,8058.0
192.168.3.2,186.213.157.68,15886,9.434677999999662,1683.788254352779,1416.8995341810398,181.19595829104628,1461,43,16,15870,0,0,0.625,0.4375,0.1875,0.0625,0.0,0.0,40977.79743170087,51936.991124260356
192.168.3.2,189.177.223.123,46381,18.942653000003745,2448.4954668171786,1457.7653133826352,66.92203802064594,1461,35,6,46375,0,0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,41000.0,17901.587481943036
192.168.3.2,189.71.188.7,39428,60.6580690000099,650.0042063652498,798.1656690676676,412.48706963641064,1461,43,0,39428,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,32055.0
192.168.3.2,189.27.48.18,37358,9.260752999999863,4034.0132168518644,1458.2340864071953,56.90162612964128,1461,35,12,37346,0,0,0.8333333333333334,0.25,0.0,0.08333333333333333,0.0,0.0,40990.53479843675,29671.61258632689
192.168.3.2,41.201.188.201,33664,33.574238000002154,1002.6735379667541,1423.467680608365,284.6046268529952,7035,35,334,33330,0,0,0.05688622754491018,0.9461077844311377,0.0688622754491018,0.0,0.0,0.0,40979.429895437264,19720.25605988593
192.168.3.2,217.164.127.240,31536,8.26622399999972,3815.042999076854,1445.1986301369864,100.59518009246193,1461,43,3,31533,0,0,1.0,0.0,0.0,0.0,0.0,0.0,40996.50028538813,21805.0
192.168.3.2,201.209.26.70,30161,75.33795200000402,400.34271173177615,958.2235337024634,426.501828420948,1461,43,0,30161,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,10498.0
192.168.3.2,187.20.193.10,26889,15.062103999999287,1785.208759679343,1405.0846070884004,191.4799151059433,1461,43,0,26889,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,20302.789914091263
192.168.3.2,80.50.138.94,24903,17.274158000000153,1441.6332188231565,1371.5422639842589,262.7159765474355,1461,43,3,24900,0,0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,41000.0,13003.595309802033
192.168.3.2,75.67.204.39,24848,4.893738000000157,5077.5092577492305,1456.1750241468126,75.10636715411286,1461,35,7,24841,0,0,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.0,0.0,40988.801915647135,34092.0
192.168.3.2,186.200.12.3,21208,62.68019200000181,338.3525053656407,1022.303187476424,408.16527279845434,1461,43,0,21208,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,47143.0
189.177.223.123,192.168.3.2,21116,638.1263770000005,33.09062399092772,46.924891077855655,32.37138333134992,843,35,10,21106,0,0,0.2,0.8,0.2,0.2,0.0,0.0,17927.24147565827,41000.0
192.168.3.2,189.71.188.7,20568,52.32993000000366,393.04466870103903,991.2659471022948,489.81882975828006,1461,43,3,20565,0,0,1.0,0.0,0.0,0.0,0.0,0.0,40994.60749708285,32055.0
192.168.3.2,178.42.221.229,17397,37.648448000002844,462.0907613508712,1185.0177042018738,394.11110887489735,1461,35,11,17386,0,0,0.18181818181818182,0.8181818181818182,0.45454545454545453,0.18181818181818182,0.0,0.0,40975.16123469564,24207.0
192.168.3.2,63.136.117.123,16420,10.853099000000057,1512.9319284749834,560.0679049939099,70.20006356242891,571,35,16420,0,0,0,0.0,1.0,0.01686967113276492,0.0,0.0,0.0,41000.0,62898.0
192.168.3.2,201.76.24.234,16100,50.0727040000008,321.5324660717293,907.3718633540373,382.7826731435757,1461,43,0,16100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,11394.0
